,Vendor Code,Company,County,City,Zip,Vendor_Address,lat,lon,geometry
24,165497,"MW LOYD, INC.",In LA County,CHATSWORTH,91311,"9363  HANNA AVE., CHATSWORTH, CA, 91311",34.24096,-118.607739,POINT (-118.607739 34.24096)
25,175395,NATHAN A CLEAVER,Outside of LA County,ROSEVILLE,95747,"9362  PARKSTONE CIRCLE, ROSEVILLE, CA, 95747",,,POINT (NaN NaN)
26,204937,NATHAN CLEAVER,Outside of LA County,ROSEVILLE,95747,"9362  PARKSTONE CIR, ROSEVILLE, CA, 95747",,,POINT (NaN NaN)
27,174216,INTEGRATED IMAGE INC,In LA County,CHATSWORTH,91311,"9301  OAKDALE AVE , CHATSWORTH, CA, 91311",34.239282,-118.56698,POINT (-118.56698 34.239282)
28,114811,PPC CONSTRUCTION INC,In LA County,LOS ANGELES,90041,"930  COLORADO BLVD., , LOS ANGELES, CA, 90041",34.1386794,-118.1862,POINT (-118.1862 34.1386794)
29,204723,AZARLY LLC,In LA County,SANTA MONICA,90403,"930  CALIFORNIA AVE , SANTA MONICA, CA, 90403",34.0246777,-118.4944303,POINT (-118.4944303 34.0246777)
30,142457,DEVON DORSEY,In LA County,WILMINGTON,90744,"926  N WILMINGTON BL , WILMINGTON, CA, 90744",,,POINT (NaN NaN)
31,189782,FEDERAL ONE SUPPLIES LLC,In LA County,PANORAMA CITY,91402,"9253  1/2 CEDROS AVE, PANORAMA CITY, CA, 91402",,,POINT (NaN NaN)
32,189782,FEDERAL ONE SUPPLIES LLC,In LA County,PANORAMA CITY,91402,"9253  1/2 CEDROS AVE, PANORAMA CITY, CA, 91402",,,POINT (NaN NaN)
33,520500,ADVANCED BATTERY SYSTEMS,In LA County,INGLEWOOD,90302,"925  W HYDE PARK BLVD, INGLEWOOD, CA, 90302",33.9662682,-118.368869,POINT (-118.368869 33.9662682)
34,62833,MIRON ELECTRIC CONSTR CORP,In LA County,CHATSWORTH,91311,"9238  DEERING AVE, CHATSWORTH, CA, 91311",34.2380343,-118.5959745,POINT (-118.5959745 34.2380343)
35,199939,PRECISION FORKLIFT SERVICE AND PARTS LLC,In LA County,WHITTIER,90605,"9226  LAUREL AVE, WHITTIER, CA, 90605",33.9526493,-118.0374975,POINT (-118.0374975 33.9526493)
36,35048,DAN MCCOMB,In LA County,INGLEWOOD,90302,"922  WEST HYDE PARK BLVD, INGLEWOOD, CA, 90302",33.9662535,-118.3686716,POINT (-118.3686716 33.9662535)
37,155062,UNITED GARAGE DOORS & GATES,In LA County,PANORAMA CITY,91402,"9213  WILLIS AVE., PANORAMA CITY, CA, 91402",34.2379216,-118.4552698,POINT (-118.4552698 34.2379216)
38,185258,SECURITY OPERATIONS GROUP INTERNATIONAL LLC,Outside of LA County,LA HABRA,90631,"921  N. HARBOR BLVD, LA HABRA, CA, 90631",33.9402099,-117.933143,POINT (-117.933143 33.9402099)
39,60044,MICHAEL E. POWERS & ASSOCIATES,In LA County,AZUSA,91702,"918  W FOOTHILL BLVD, AZUSA, CA, 91702",34.1334619,-117.9186885,POINT (-117.9186885 34.1334619)
40,203713,GEORGE RIZKALLA,In LA County,BEVERLY HILLS,90210,"9171  WILSHIRE BLVD , BEVERLY HILLS, CA, 90210",34.0672868,-118.392413,POINT (-118.392413 34.0672868)
41,149653,TRAINING CONNECTION LLC,In LA County,LOS ANGELES,90017,"915  WILSHIRE BLVD , LOS ANGELES, CA, 90017",34.0510572,-118.2600174,POINT (-118.2600174 34.0510572)
42,177589,"WENMAR, INC.",In LA County,CHATSWORTH,91311,"9132  JORDAN AVE, CHATSWORTH, CA, 91311",34.2361181,-118.6038301,POINT (-118.6038301 34.2361181)
43,165560,LORENA O CARMACK,In LA County,DOWNEY,90240,"9130  EGLISE AVE, DOWNEY, CA, 90240",33.951181,-118.1041185,POINT (-118.1041185 33.951181)
44,517390,SUPERIOR PROPERTY SERVICES INC,In LA County,PICO RIVERA,90660,"9129  PERKINS STREET, PICO RIVERA, CA, 90660",33.9721212,-118.1014656,POINT (-118.1014656 33.9721212)
45,186443,BE SOCIAL PRODUCTIONS,In LA County,BEVERLY HILLS,90212,"9100  WILSHIRE BLVD, BEVERLY HILLS, CA, 90212",34.066968,-118.389821,POINT (-118.389821 34.066968)
46,210380,PROLIFIC STYLES LLC,In LA County,LOS ANGELES,90045,"9100  S SEPULVEDA BLVD, LOS ANGELES, CA, 90045",33.9542725,-118.3957814,POINT (-118.3957814 33.9542725)
47,175228,"BUSINESS U, INC.",In LA County,LOS ANGELES,90024,"907  WESTWOOD BLVD, LOS ANGELES, CA, 90024",34.0635511,-118.445526,POINT (-118.445526 34.0635511)
48,501216,"SPECIAL SERVICE FOR GROUPS, INC.",In LA County,LOS ANGELES,90021,"905  E. 8TH STREET, LOS ANGELES, CA, 90021",34.0312699,-118.2419335,POINT (-118.2419335 34.0312699)
49,501216,"SPECIAL SERVICE FOR GROUPS, INC.",In LA County,LOS ANGELES,90021,"905  E. 8TH ST, LOS ANGELES, CA, 90021",34.0312699,-118.2419335,POINT (-118.2419335 34.0312699)
50,501216,"SPECIAL SERVICE FOR GROUPS, INC.",In LA County,LOS ANGELES,90021,"905  E 8TH STREET, LOS ANGELES, CA, 90021",34.0312699,-118.2419335,POINT (-118.2419335 34.0312699)
51,156649,AAPI EQUITY ALLIANCE,In LA County,LOS ANGELES,90021,"905  E 8TH ST, LOS ANGELES, CA, 90021",34.0312699,-118.2419335,POINT (-118.2419335 34.0312699)
52,501216,"SPECIAL SERVICE FOR GROUPS, INC.",In LA County,LOS ANGELES,90021,"905  E 8TH ST, LOS ANGELES, CA, 90021",34.0312699,-118.2419335,POINT (-118.2419335 34.0312699)
53,501216,"SPECIAL SERVICE FOR GROUPS, INC.",In LA County,LOS ANGELES,90021,"905  E 8TH ST, LOS ANGELES, CA, 90021",34.0312699,-118.2419335,POINT (-118.2419335 34.0312699)
54,193817,JLE PAINTING,In LA County,ALHAMBRA,91801,"904  E MOUNTAIN VIEW TER, ALHAMBRA, CA, 91801",34.0960371,-118.1146367,POINT (-118.1146367 34.0960371)
55,208927,TOURBILLON ENTERPRISES LLC,In LA County,ROSEMEAD,91770,"9038  GARVEY AVENUE, ROSEMEAD, CA, 91770",34.062611,-118.0715898,POINT (-118.0715898 34.062611)
56,208927,TOURBILLON ENTERPRISES LLC,In LA County,ROSEMEAD,91770,"9038  GARVEY AVE, ROSEMEAD, CA, 91770",34.062611,-118.0715898,POINT (-118.0715898 34.062611)
57,37388,"FERBAK, INC.",In LA County,NORTHRIDGE,91325,"9030  BALBOA BLVD, NORTHRIDGE, CA, 91325",34.2354782,-118.5026347,POINT (-118.5026347 34.2354782)
58,159004,LOGIXSERVICE INC,Outside of LA County,SAN CLEMENTE,92673,"903  CALLE AMANECER , SAN CLEMENTE, CA, 92673",33.4484638,-117.6087624,POINT (-117.6087624 33.4484638)
59,159004,LOGIXSERVICE INC,Outside of LA County,SAN CLEMENTE,92673,"903  CALLE AMANACER , SAN CLEMENTE, CA, 92673",,,POINT (NaN NaN)
60,205655,"INNOVATIVE WORKPLACE SOLUTIONS, LLC",In LA County,NORTH HILLS,91343,"8943  COLLETT AVE, NORTH HILLS, CA, 91343",34.2331142,-118.4840927,POINT (-118.4840927 34.2331142)
61,118932,APPLIED ENGINEERING CONCEPTS,In LA County,PASADENA,91103,"894  N FAIR OAKS AVE, PASADENA, CA, 91103",34.1612875,-118.1505077,POINT (-118.1505077 34.1612875)
62,46786,"PATTEN ENERGY ENTERPRISES, INC",In LA County,LOS ANGELES,90045,"8939  S SEPULVEDA BLVD , LOS ANGELES, CA, 90045",33.9550489,-118.3963772,POINT (-118.3963772 33.9550489)
63,177581,POLYCHROME CONSTRUCTION INC,In LA County,NORTHRIDGE,91325,"8908  BALBOA BLVD, NORTHRIDGE, CA, 91325",34.2324363,-118.502465,POINT (-118.502465 34.2324363)
64,163451,CSDA DESIGN GROUP INC,In LA County,EL SEGUNDO,90245,"889  N DOUGLAS STREET, EL SEGUNDO, CA, 90245",33.9285381,-118.3835711,POINT (-118.3835711 33.9285381)
65,163451,CSDA DESIGN GROUP INC,In LA County,EL SEGUNDO,90245,"889  N DOUGLAS ST, EL SEGUNDO, CA, 90245",33.9285381,-118.3835711,POINT (-118.3835711 33.9285381)
66,111511,APSI CONSTRUCTION MANAGEMENT,Outside of LA County,IRVINE,92618,"8885  RESEARCH DR, IRVINE, CA, 92618",33.6430897,-117.7373719,POINT (-117.7373719 33.6430897)
67,43302,VALLEY CONSTRUCTION SUPPLY INC,In LA County,LANCASTER,93535,"888  E AVENUE L 4, LANCASTER, CA, 93535",34.6567382,-118.1134711,POINT (-118.1134711 34.6567382)
68,194581,OCMI,Outside of LA County,IRVINE,92618,"8851  RESEARCH DR, IRVINE, CA, 92618",33.6437972,-117.7377231,POINT (-117.7377231 33.6437972)
69,182836,"ADVANCED MICROSYSTEMS GROUP, INC.",In LA County,LOS ANGELES,90045,"8816  S SEPULVEDA BLVD, LOS ANGELES, CA, 90045",33.955713,-118.3963779,POINT (-118.3963779 33.955713)
70,190398,KEITH JACKSON ENTERPRISES INC,Outside of LA County,RCH CUCAMONGA,91701,"8780  19TH ST, RCH CUCAMONGA, CA, 91701",,,POINT (NaN NaN)
71,167823,"AIR BALANCE CO., INC.",In LA County,COVINA,91724,"874  S VILLAGE OAKS DR, COVINA, CA, 91724",34.0731042,-117.8625233,POINT (-117.8625233 34.0731042)
72,117868,MAURER MARINE INC.,Outside of LA County,COSTA MESA,92627,"873  W. 17TH ST., COSTA MESA, CA, 92627",33.6360047,-117.9350097,POINT (-117.9350097 33.6360047)
73,182164,PG CUTTING SERVICES,In LA County,PARAMOUNT,90723,"8650  SOMERSET BLVD, PARAMOUNT, CA, 90723",33.896342,-118.1475827,POINT (-118.1475827 33.896342)
74,182164,PG CUTTING SERVICES,In LA County,PARAMOUNT,90723,"8650  SOMERSET BLVD, PARAMOUNT, CA, 90723",33.896342,-118.1475827,POINT (-118.1475827 33.896342)
75,190811,BAYINFOTECH,In LA County,W HOLLYWOOD,90069,"8605  SANTA MONICA BLVD, W HOLLYWOOD, CA, 90069",34.0880685,-118.3794279,POINT (-118.3794279 34.0880685)
76,202781,"PHONES USA, INC.",In LA County,LOS ANGELES,90034,"8592  VENICE BLVD, LOS ANGELES, CA, 90034",34.033718,-118.3800347,POINT (-118.3800347 34.033718)
77,513782,DAVID RAYBOULD,In LA County,NORTH HILLS,91343,"8552  AQUEDUCT AVE., NORTH HILLS, CA, 91343",34.2256999,-118.4741373,POINT (-118.4741373 34.2256999)
78,201043,THINKLOGIC INC,In LA County,EL SEGUNDO,90245,"855  N DOUGLAS ST, EL SEGUNDO, CA, 90245",33.9277447,-118.3832385,POINT (-118.3832385 33.9277447)
79,194037,HORIZON DESIGN INTERNATIONAL LLC,In LA County,BEVERLY HILLS,90211,"8549  WILSHIRE BLVD , BEVERLY HILLS, CA, 90211",34.0656649,-118.3777361,POINT (-118.3777361 34.0656649)
80,163141,BRILLIANT CORNERS,Outside of LA County,SAN FRANCISCO,94107,"854  FOLSOM ST, SAN FRANCISCO, CA, 94107",37.7811214,-122.4024492,POINT (-122.4024492 37.7811214)
81,171823,ARDO A VARDANYAN,In LA County,SUN VALLEY,91352,"8532  VINE VALLEY DR, SUN VALLEY, CA, 91352",,,POINT (NaN NaN)
82,168704,ZSM CORP.,In LA County,WINNETKA,91306,"8512  HELMAND DR, WINNETKA, CA, 91306",34.2247979,-118.5694641,POINT (-118.5694641 34.2247979)
83,180362,"DURA BRANDS, INC.",In LA County,DUARTE,91010,"851  MERIDIAN ST, DUARTE, CA, 91010",34.1214567,-117.9868065,POINT (-117.9868065 34.1214567)
84,164801,BBC ELECTRIC INC.,In LA County,AZUSA,91702,"850  W FOOTHILL BLVD , AZUSA, CA, 91702",34.133449,-117.91703,POINT (-117.91703 34.133449)
85,127786,TELENET VOIP INC,In LA County,EL SEGUNDO,90245,"850  PARKVIEW DRIVE NORTH, EL SEGUNDO, CA, 90245",33.9277354,-118.3849764,POINT (-118.3849764 33.9277354)
86,125062,"GOLD ARC, INC.",In LA County,POMONA,91767,"848  TOWNE CENTER DRIVE, POMONA, CA, 91767",34.092407,-117.7336875,POINT (-117.7336875 34.092407)
87,176990,LOS ANGELES CHEMICAL COMPANY,In LA County,CARSON,90746,"845  SANDHILL AVE, CARSON, CA, 90746",33.8787242,-118.2611399,POINT (-118.2611399 33.8787242)
88,117198,HARRIS OFFICE PRODUCTS,In LA County,CANOGA PARK,91304,"8441  CANOGA AVE, CANOGA PARK, CA, 91304",34.2231784,-118.5976408,POINT (-118.5976408 34.2231784)
89,191804,YOUTH MENTORING CONNECTION,In LA County,LOS ANGELES,90044,"8407  S VERMONT AVE, LOS ANGELES, CA, 90044",33.9622356,-118.2913501,POINT (-118.2913501 33.9622356)
90,169691,GC GREEN INCORPORATED,Outside of LA County,VISTA,92084,"837  TIGER TAIL RD, VISTA, CA, 92084",33.19931,-117.229131,POINT (-117.229131 33.19931)
91,186163,TRANSPACIFIC ENVIRONMENTAL SERVICES INC,In LA County,MONTEREY PARK,91755,"837  BROWNING PLACE, MONTEREY PARK, CA, 91755",34.0494324,-118.1092479,POINT (-118.1092479 34.0494324)
92,143231,ARMANDO ZUBIA,In LA County,PICO RIVERA,90660,"8345  CRAVELL AVE, PICO RIVERA, CA, 90660",33.9634047,-118.1056172,POINT (-118.1056172 33.9634047)
93,195083,PASSAGE ENTERTAINMENT INC.,In LA County,PICO RIVERA,90660,"8345  CRAVELL AVE, PICO RIVERA, CA, 90660",33.9634047,-118.1056172,POINT (-118.1056172 33.9634047)
94,202445,AUTOMATED GATE SUPPLY INC,In LA County,N HOLLYWOOD,91605,"8323  LANKERSHIM BLVD, N HOLLYWOOD, CA, 91605",34.1868054,-118.3877736,POINT (-118.3877736 34.1868054)
95,137235,JAMES ADAM TUCKER,In LA County,PASADENA,91103,"830  N PASADENA AVE, PASADENA, CA, 91103",34.1579696,-118.1604787,POINT (-118.1604787 34.1579696)
96,185659,"LA TRUCK & AUTO, INC.",In LA County,LOS ANGELES,90021,"825  E WASHINGTON BLVD, LOS ANGELES, CA, 90021",34.0265617,-118.2545898,POINT (-118.2545898 34.0265617)
97,168442,HOLOS INC,In LA County,N HOLLYWOOD,91606,"8221  LG, LP, N HOLLYWOOD, CA, 91606",,,POINT (NaN NaN)
98,119972,SPECTRUM ENVIRONMENTAL SERVICE,In LA County,N HOLLYWOOD,91605,"8216  LANKERSHIM BLVD , N HOLLYWOOD, CA, 91605",34.1868054,-118.3877736,POINT (-118.3877736 34.1868054)
99,166791,"ROSE EQUIPMENT REPAIR, INC.",In LA County,SANTA FE SPGS,90670,"8143  SECURA WAY, SANTA FE SPGS, CA, 90670",,,POINT (NaN NaN)
100,165245,SAN FERNANDO VALLEY ALARM INC,In LA County,SUN VALLEY,91352,"8111  SAN FERNANDO RD, SUN VALLEY, CA, 91352",34.2331016,-118.38721,POINT (-118.38721 34.2331016)
101,118321,ACE ATTORNEY SERVICE INC,In LA County,LOS ANGELES,90017,"811  WILSHIRE BLVD , LOS ANGELES, CA, 90017",34.0497826,-118.2582443,POINT (-118.2582443 34.0497826)
102,183665,"SUNLIGHT MEDIA, LLC",In LA County,LOS ANGELES,90017,"811  W 7TH ST , LOS ANGELES, CA, 90017",34.0488496,-118.2588524,POINT (-118.2588524 34.0488496)
103,109274,"IMPACT SCIENCES, INC",In LA County,LOS ANGELES,90017,"811  W 7TH ST , LOS ANGELES, CA, 90017",34.0488496,-118.2588524,POINT (-118.2588524 34.0488496)
104,52182,FAST DEER BUS CHARTER INC,In LA County,MONTEBELLO,90640,"8105  SLAUSON AVE, MONTEBELLO, CA, 90640",33.975826,-118.1215909,POINT (-118.1215909 33.975826)
105,511468,POWERS BROS MACHINE INC,In LA County,MONTEBELLO,90640,"8100  SLAUSON AVE., MONTEBELLO, CA, 90640",33.975429,-118.1224571,POINT (-118.1224571 33.975429)
106,165245,SAN FERNANDO VALLEY ALARM INC,In LA County,SAN FERNANDO,91340,"804  PICO ST, SAN FERNANDO, CA, 91340",34.2797804,-118.4407613,POINT (-118.4407613 34.2797804)
107,165245,SAN FERNANDO VALLEY ALARM INC,In LA County,SAN FERNANDO,91340,"804  PICO ST, SAN FERNANDO, CA, 91340",34.2797804,-118.4407613,POINT (-118.4407613 34.2797804)
108,184822,SERVICE CONNECTED INC,In LA County,LOS ANGELES,90046,"8039  HEMET PL, LOS ANGELES, CA, 90046",34.1021345,-118.364531,POINT (-118.364531 34.1021345)
109,173299,F.S.O.C. LLC,In LA County,EL SEGUNDO,90245,"803  EUCALYPTUS DR, EL SEGUNDO, CA, 90245",33.9271421,-118.4137945,POINT (-118.4137945 33.9271421)
110,182010,ESTOLANO ADVISORS,In LA County,LOS ANGELES,90017,"801  S. GRAND AVE, LOS ANGELES, CA, 90017",34.0455248,-118.2586725,POINT (-118.2586725 34.0455248)
111,196209,BETTER WORLD GROUP ADVISORS,In LA County,LOS ANGELES,90017,"801  S GRAND AVE , LOS ANGELES, CA, 90017",34.0455248,-118.2586725,POINT (-118.2586725 34.0455248)
112,182010,ESTOLANO ADVISORS,In LA County,LOS ANGELES,90017,"801  S GRAND AVE, LOS ANGELES, CA, 90017",34.0455248,-118.2586725,POINT (-118.2586725 34.0455248)
113,210395,"KB ELECTRIC MOTORS, LLC",In LA County,LOS ANGELES,90021,"801  E 8TH ST, LOS ANGELES, CA, 90021",34.031772,-118.241299,POINT (-118.241299 34.031772)
114,111107,THE WALL LAS MEMORIAS PROJECT,In LA County,LOS ANGELES,90017,"800  W 6TH ST, LOS ANGELES, CA, 90017",34.0501133,-118.2579611,POINT (-118.2579611 34.0501133)
115,124955,KAL KRISHNAN CONSULTING,In LA County,LOS ANGELES,90017,"800  S. FIGUEROA ST., , LOS ANGELES, CA, 90017",34.0475067,-118.2611076,POINT (-118.2611076 34.0475067)
116,59817,RAW INTERNATIONAL,In LA County,LOS ANGELES,90017,"800  S FIGUEROA ST, LOS ANGELES, CA, 90017",34.0475067,-118.2611076,POINT (-118.2611076 34.0475067)
117,173356,"ESSENTIAL CARES SUPPLIES, INC.",In LA County,LOS ANGELES,90021,"795  EAST WASHINGTON BLVD., LOS ANGELES, CA, 90021",34.0267606,-118.2550187,POINT (-118.2550187 34.0267606)
118,186048,VETERANS FIRST SUPPLY INC,Outside of LA County,FRESNO,93720,"7946  N MAPLE AVE , FRESNO, CA, 93720",36.8514725,-119.7476498,POINT (-119.7476498 36.8514725)
119,55539,M&M PAPER CO.,In LA County,VAN NUYS,91406,"7915  RUFFNER AVE, VAN NUYS, CA, 91406",,,POINT (NaN NaN)
120,513990,L.A. FAMILY HOUSING CORP,In LA County,NORTH HOLLYWOOD,91605,"7843  LANKERSHIM BLVD., NORTH HOLLYWOOD, CA, 91605",34.1868054,-118.3877736,POINT (-118.3877736 34.1868054)
121,160471,"AMERICAN WIRE, INC.",Outside of LA County,SN BERNRDNO,92408,"784  S LUGO AVE, SN BERNRDNO, CA, 92408",,,POINT (NaN NaN)
122,161153,JOE MELENDEZ,In LA County,LOS ANGELES,90001,"7822  WHITSETT AVE, LOS ANGELES, CA, 90001",33.9685656,-118.2404673,POINT (-118.2404673 33.9685656)
123,109365,"T & M PROJECTS, INC.",In LA County,SAN PEDRO,90731,"780  W. CHANNEL ST., SAN PEDRO, CA, 90731",,,POINT (NaN NaN)
124,161594,"ENERGY OPTIONS, INC.",In LA County,PARAMOUNT,90723,"7720  MADISON ST., PARAMOUNT, CA, 90723",33.890987,-118.1645499,POINT (-118.1645499 33.890987)
125,166214,"OMEGA GRAPHICS PRINTING, INC.",In LA County,VAN NUYS,91405,"7710  KESTER AVENUE, VAN NUYS, CA, 91405",34.2105337,-118.4573664,POINT (-118.4573664 34.2105337)
126,202270,"PRIORITY AIRLESS EQUIPMENT, INC.",In LA County,VAN NUYS,91406,"7702  BALBOA BLVD, VAN NUYS, CA, 91406",,,POINT (NaN NaN)
127,503706,CHINATOWN SERVICE CENTER,In LA County,LOS ANGELES,90012,"767  N. HILL ST., LOS ANGELES, CA, 90012",34.062099,-118.2399777,POINT (-118.2399777 34.062099)
128,5316,GENERAL INDUSTRIAL TOOL & SUPPLY INC,In LA County,BURBANK,91505,"7645  SAN FERNANDO RD, BURBANK, CA, 91505",34.2105112,-118.3554491,POINT (-118.3554491 34.2105112)
129,149632,"COMPUTER CONDIMENTS, INC.",In LA County,PANORAMA CITY,91402,"7618  WOODMAN AVE., , PANORAMA CITY, CA, 91402",34.2095968,-118.4312098,POINT (-118.4312098 34.2095968)
130,179973,TECHNION CONTRACTORS TCI INC.,In LA County,NORTHRIDGE,91325,"7618  JELLICO AVE, NORTHRIDGE, CA, 91325",34.2088336,-118.5173065,POINT (-118.5173065 34.2088336)
131,31896,RAYVERN LIGHTING SUPPLY CO,In LA County,PARAMOUNT,90723,"7617  SOMERST BLVD, PARAMOUNT, CA, 90723",,,POINT (NaN NaN)
132,167174,"MONET CONSTRUCTION, INC",In LA County,TUJUNGA,91042,"7610  DAY STREET, TUJUNGA, CA, 91042",34.253983,-118.2819547,POINT (-118.2819547 34.253983)
133,503065,FIVE ACRES-THE BOYS & GIRLS AID SOCIETY,In LA County,ALTADENA,91001,"760  MOUNTAIN VIEW ST, ALTADENA, CA, 91001",34.1917496,-118.1657211,POINT (-118.1657211 34.1917496)
134,213131,ADRIAN CHAVEZ,In LA County,DOWNEY,90241,"7536  BROOKMILL RD, DOWNEY, CA, 90241",33.9421202,-118.1495116,POINT (-118.1495116 33.9421202)
135,29044,"JOHN LISEE PUMPS, INC.",In LA County,BELL GARDENS,90201,"7516  GARFIELD AVE, BELL GARDENS, CA, 90201",33.9632933,-118.1525279,POINT (-118.1525279 33.9632933)
136,174861,316 ENGINEERING AND CONSTRUCTION INC,In LA County,ROSEMEAD,91770,"7434  GARVALIA AVE, ROSEMEAD, CA, 91770",34.0582012,-118.0913733,POINT (-118.0913733 34.0582012)
137,190074,MEDZ VENTURES INC,In LA County,GLENDALE,91203,"743  MILFORD ST, GLENDALE, CA, 91203",34.152297,-118.2715042,POINT (-118.2715042 34.152297)
138,190074,MEDZ VENTURES INC,In LA County,GLENDALE,91203,"743  MILFORD ST, GLENDALE, CA, 91203",34.152297,-118.2715042,POINT (-118.2715042 34.152297)
139,196036,HALTONE INC,In LA County,N HOLLYWOOD,91605,"7332  LAUREL CANYON BLVD, N HOLLYWOOD, CA, 91605",34.186247,-118.3965813,POINT (-118.3965813 34.186247)
140,503078,NEW DIRECTIONS FOR YOUTH,In LA County,NORTH HOLLYWOOD,91605,"7315  LANKERSHIM BLVD, NORTH HOLLYWOOD, CA, 91605",34.1868054,-118.3877736,POINT (-118.3877736 34.1868054)
141,185192,"JONCICH STURM AND ASSOCIATES, INC.",In LA County,RLLNG HLS EST,90274,"727  SILVER SPUR RD, RLLNG HLS EST, CA, 90274",,,POINT (NaN NaN)
