Vendor Code,Company,Address,City,County,State,Zip
160222,CAL INTERPRETING & TRANSLATIONS INC,5990 SEPULVEDA BLVD STE 250,VAN NUYS,In LA County,California,91411
163837,PENN AIR CONTROL,5941 LAKESHORE DR,CYPRESS,Outside of LA County,California,90630
171570,H-D SPECIALTY GROUPS INC,5913 E. WASHINGTON BLVD,COMMERCE,In LA County,California,90040
214331,VAN ELLS CONSTRUCTION LLC,591 HARGRAVE ST,INGLEWOOD,In LA County,California,90302
59165,SOFFA ELECTRIC INC.,5901 CORVETTE ST,COMMERCE,In LA County,California,90040
110154,"VIZUAL SYMPHONY, INC.",5900 SAN FERNANDO RD STE D,GLENDALE,In LA County,California,91202
105454,CHOICE TECHNICAL SERVICES,5871 RICKENBACKER RD,COMMERCE,In LA County,California,90040
208976,"THE WOLCOTT GROUP, LLC",5855 E NAPLES PLZ,LONG BEACH,In LA County,California,90803
176214,"DIMAGI, INC.",585 MASSACHUSETTS AVE,CAMBRIDGE,Out of State,Massachusetts,2139
214071,"THE HUMAN BEAUTY MOVEMENT, PBC",5826 FAIRHAVEN AVE,WOODLAND HLS,In LA County,California,91367
184956,ENTERPRISE SYSTEMS SOLUTIONS CORPORATION,5805 SEPULVEDA BLVD STE 710,SHERMAN OAKS,In LA County,California,91411
169016,SUTHERLAND CONSULTING GROUP,5800A HANNUM AVE STE 200,CULVER CITY,In LA County,California,90230
169016,SUTHERLAND CONSULTING GROUP,5800A HANNUM AVE,CULVER CITY,In LA County,California,90230
201842,MELINA SEMPILL WATTS CONSULTING LLC,5800 KANAN RD,AGOURA HILLS,In LA County,California,91301
128525,"MOSS, LEVY & HARTZHEIM",5800 HANNUM AVENUE,CULVER CITY,In LA County,California,90230
138927,BEACON ECONOMICS LLC,5777 W CENTURE BLVD STE 895,LOS ANGELES,In LA County,California,90045
180493,FEDERAL SUPPLIER INC.,5776 LINDERO CANYON ROAD,WESTLAKE VILLAGE,Outside of LA County,California,91362
153159,HALCO SERVICE CORP.,5773 VENICE BLVD.,LOS ANGELES,In LA County,California,90019
170515,"MONACO MECHANICAL, INC.",5742 VENICE BOULEVARD,LOS ANGELES,In LA County,California,90019
163692,BUY SUPPLIES 4 LESS,5737 KANAN RD. #136,AGOURA HILLS,In LA County,California,91301
